0: 24/161
124: 7'2606/3015
125: 3'37/72
126: 3/376
127: 192
128: 5'3/4
129: 45'11/126
130: 12'11/14
131: 3'307/315
132: 8'9/40
133: 20'4/5
134: 1'3/8
135: 11'11/15
136: 1'41/54
137: 13/64
138: 1
139: 1'5/13
140: 40/153
141: 21
142: 13/88
143: 3'1/2
144: 9'25/32
145: 11'3/14
146: 10'12/35
147: 6'1/20
148: 6'1/9
149: 1'1/8
150: 19
151: 133/234
152: 6'19/42
153: 4'17/30
154: 13/16
155: 27'3/4
156: 117/308
157: 2'3/4
158: 11'1/18
159: 39'1/3
160: 2'1/7
161: 4'1/58
162: 8'2/3
163: 1'3/28
164: 5'3/4
165: 55'1/4
166: 35/72
167: 49'1/2
168: 20'29/42
169: 10'13/18
170: 23/68
171: 53'1/20
172: 40/63
173: 41'2/3
174: 2'23/50
175: 189/1024
176: 1'2/3
177: 17/52
178: 84/323
179: 17'2/3
180: 57'3/10
181: 20'1/3
182: 19'7/9
183: 1
184: 23/54
185: 10'11/14
186: 25'5/21
187: 9'1/10
188: 6'146/603
189: 99'3/4
190: 14'29/42
191: 1'5/7
192: 2/65
193: 2'11/30
194: 21'3/5
195: 8'2/9
196: 3'19/20
197: 6'5/6
198: 124'4/5
199: 6'33/49
200: 4'6/7
201: 8'1/2
202: 35'32/147
203: 3'55/261
204: 20'7/9
205: 2'7/12
206: 9/10
207: 2'37/42
208: 3'4/5
209: 12'2/15
210: 13'5/6
211: 56'43/54
212: 44'1/2
213: 7
214: 8'13/16
215: 5'169/2610
216: 126'7/18
217: 48/247
218: 2/21
219: 10'7/24
220: 13/50
221: 43
222: 27/100
223: 3'29/36
224: 3'11/20
225: 23'31/84
226: 10
227: 5'7/8
228: 20'1/8
229: 2'4/15
230: 8'11/20
231: 2'159/170
232: 10'1/4
233: 8'1/2
234: 11'4/5
235: 8'5/18
236: 3'7/170
237: 75/112
238: 11'34/45
239: 22/115
240: 117'1/9
241: 21
242: 18'3/8
243: 26'134/135
244: 19/21
245: 3'5/7
246: 12'2/3
247: 11/120
248: 5'33/35
249: 117/1606
250: 16/1445
251: 96/2023
252: 22'1/2
253: 9'899/1269
254: 13'33/56
255: 33'8/15
256: 13'2/3
257: 5'15/28
258: 3'8/9
259: 5
260: 520'24/25
261: 200/1001
262: 24'3/8
263: 1'7/9
264: 6'1/63
265: 27'5/8
266: 96
267: 1'4/95
268: 13'1/2
269: 2/9
270: 55'15/16
271: 3'327/395
272: 10'11/60
273: 10'59/60
274: 8'1/2
275: 16'7/8
276: 4/51
277: 1'1/4
278: 1'13/15
279: 3'68/69
280: 4'23/45
281: 17
282: 27'13/14
283: 3'23/34
284: 7/115
285: 29'13/28
286: 20'2/9
287: 5'19/21
288: 4'1/10
289: 8'3/4
290: 6'113/114
291: 15'3/4
292: 13'2/3
293: 3'9/20
294: 5'37/40
295: 3'1/9
296: 44'35/72
297: 54/323
298: 56/75
299: 4'1/3
300: 1'19/27
301: 3
302: 5'3/10
303: 11'3/5
304: 180
305: 10'14/25
306: 19/79
307: 6'307/324
308: 59'7/12
309: 34'1/4
310: 8'3/52
311: 5'1/4
312: 6'37/108
313: 7'18/31
314: 9'13/24
315: 10'83/105
316: 11'5/6
317: 3'94/129
318: 5'607/610
319: 18'1/2
320: 1'7/36
321: 1'737/1800
322: 399/470
323: 4'7/36
324: 128/1007
325: 8'4/13
326: 13'1/4
327: 3'1/2
328: 6'221/504
329: 5/8
330: 168'3/16
331: 22'2/21
332: 81'11/18
333: 21'1/10
334: 1'2/3
335: 7'31/120
336: 1'1/3
337: 12'1/4
338: 9/76
339: 4'407/768
340: 1'19/20
341: 5'7/19
342: 5'5/6
343: 220/483
344: 3'13/21
345: 4'1/2
346: 4'1/16
347: 30'1/3
348: 2'19/145
349: 20/21
350: 1'4/27
351: 1'1/2
352: 2'3/4
353: 3'5/9
354: 1'123/170
355: 5'1/2
356: 6'8/9
357: 15'35/36
358: 53/56
359: 16'7/9
360: 19'8/35
361: 1'3/10
362: 13'1/5
363: 4'7/72
364: 11'3/7
365: 5'7/87
366: 21'6/7
367: 4'4/9
368: 47'13/18
369: 7'5/16
370: 5'5/9
371: 32'19/21
372: 1'1/2
373: 9'7/18
374: 20
375: 2'8/9
376: 9'29/36
377: 18/55
378: 13/14
379: 6'6/7
380: 5'17/70
381: 34'1/3
382: 7'3/5
383: 27/100
384: 161/243
385: 7/34
386: 4/7
387: 17
388: 2/23
389: 20/171
390: 10'239/280
391: 19'3/7
392: 10'4/9
393: 6'7/9
394: 4'1/329
395: 16'47/60
396: 259/738
397: 3'1/3
398: 4'31/32
399: 65/1311
400: 1'16/49
401: 7'2/35
402: 43/70
403: 5'7/8
404: 4'25/172
405: 18'7/20
406: 1'4/9
407: 11/20
408: 91/99
409: 30'5/9
410: 2'251/285
411: 5'5/8
412: 41'1/6
413: 8'43/53
414: 1/6
415: 5/52
416: 9'9/14
417: 10'43/182
418: 6'250/333
419: 39'1/2
420: 4'18/55
421: 5/7
422: 4'13/17
423: 35'5/9
424: 3'3/5
425: 5'32/43
426: 3'43/49
427: 1'179/235
428: 1'17/20
429: 17/38
430: 70'1/4
431: 6'7/256
432: 33'34/35
433: 2'117/448
434: 2'1/105
435: 54/77
436: 7
437: 19/175
438: 4'3/8
439: 6'3/5
440: 6'1/10
441: 32/741
442: 3'5/8
443: 35/171
444: 6'43/238
445: 12'58/63
446: 5'2/3
447: 8'106/1449
448: 2'14/15
449: 4'1/8
450: 4'319/504
451: 4'13/35
452: 13'1/4
453: 6'7/8
454: 158'2/5
455: 5'3/4
456: 25'5/7
457: 43'11/28
458: 11/70
459: 4'4/15
460: 4
461: 1'47/56
462: 8'13/30
463: 14'5/9
464: 1/178
465: 4'23/480
466: 21/244
467: 2'1/2
468: 4'43/135
469: 4'117/161
470: 31'1/5
471: 79'1/14
472: 66'3/4
473: 128/4345
474: 1/5
475: 11'5/6
476: 12'5/12
477: 2'47/105
478: 128'5/8
479: 6'3/10
480: 117/812
481: 4'1/4
482: 28'11/14
483: 6'7/216
484: 8'57/196
485: 2'86/213
486: 6'16/21
487: 5'1/42
488: 2'8/9
489: 5'59/133
490: 1'9/28
491: 4
492: 8'31/45
493: 41'2/7
494: 3'3/40
495: 2'1/6
496: 595/1824
497: 43'1/4
498: 3'7/8
499: 15/52
500: 91/295
501: 9'3/7
502: 3'61/63
503: 1'13/20
504: 5'98/255
505: 4/45
506: 12
507: 3/31
508: 12'1/3
509: 1'227/637
510: 1'8/27
511: 7'8/21
512: 16'2/3
513: 1'7/24
514: 18/175
515: 693/1072
516: 45'1/2
517: 6'1/18
518: 8'5/119
519: 59'9/16
520: 4'251/408
521: 12'5/7
522: 1'7/44
523: 6'1/8
524: 17'5/18
525: 20'9/28
526: 6'49/76
527: 3'1/37
528: 19'19/20
529: 5'276/3115
530: 10'1/3
531: 8'136/141
532: 2'4/7
533: 5'17/50
534: 7'13/32
535: 5'25/36
536: 1/16
537: 19'1/6
538: 8'3/14
539: 4'61/135
540: 6'99/232
541: 6'1/3
542: 3'1/6
543: 4
544: 4'143/448
545: 21'1/2
546: 6'23/57
547: 9
548: 16
549: 1'13/24
550: 136
551: 9'3/7
552: 10'3/8
553: 7'1/4
554: 5'20/87
555: 5'507/553
556: 31'7/12
557: 142'4/5
558: 1'1/4
559: 8'1/21
560: 1'13/24
561: 151/189
562: 7'23/28
563: 5'25/32
564: 20/27
565: 4'289/528
566: 19/32
567: 31'1/15
568: 8'1/12
569: 21'5/6
570: 5'77/368
571: 78'7/18
572: 4'2/7
573: 1/21
574: 6'1/19
575: 5'14/39
576: 16'19/42
577: 10/77
578: 5'3/20
579: 50'26/45
580: 1'2/3
581: 155'31/72
582: 6'258/371
583: 271/384
584: 2'1/6
585: 6'17/24
586: 7'248/255
587: 5'3/7
588: 14'1/2
589: 6'25/29
590: 7
591: 2
592: 1'43/54
593: 104/805
594: 41'34/35
595: 2'4/17
596: 3/4
597: 9'2/65
598: 29'6/7
599: 4/9
600: 1'2/5
601: 10
602: 16'73/112
603: 21'3/5
604: 32/105
605: 1'28/297
606: 4'119/260
607: 5'646/819
608: 51'14/15
609: 20
610: 27'3/7
611: 11'1/4
612: 40'1/3
613: 11'2/9
614: 62'5/8
615: 24'4/5
616: 8/81
617: 11
618: 23'3/4
619: 3'1/15
620: 1'3/4
621: 8'1/6
622: 15'19/20
623: 5'1/9
624: 72
625: 641'2/3
626: 3/37
627: 2'5/8
628: 33
629: 10'2/7
630: 6'3/91
631: 1/46
632: 4'10/57
633: 6'361/492
634: 2'73/84
635: 9'3/4
636: 10'549/812
637: 5'2/27
638: 11'4/9
639: 5'1/21
640: 76'5/24
641: 6'1/2
642: 9/1976
643: 19/200
644: 11
645: 4'3/8
646: 56'8/27
647: 2'2/3
648: 7'25/342
649: 516/1925
650: 1'587/1035
651: 513/5096
652: 12'6/7
653: 2'2/7
654: 24'8/9
655: 35/243
656: 15/56
657: 14'37/42
658: 13'23/42
659: 2'33/56
660: 3'11/30
661: 21'1/9
662: 5'2/3
663: 144/475
664: 2/5
665: 4'21/31
666: 49/494
667: 3/16
668: 30'1/3
669: 15/34
670: 17/30
671: 7'33/74
672: 15'17/35
673: 131/360
674: 2'5/18
675: 1'97/120
676: 6'87/98
677: 288/1241
678: 20
679: 1'37/68
680: 57'11/45
681: 5'19/30
682: 41'3/40
683: 1'3/8
684: 26
685: 18/205
686: 3'17/36
687: 6'63/68
688: 11/155
689: 26'13/28
690: 11'2/3
691: 6'91/216
692: 360/6083
693: 11'5/7
694: 6'13/24
695: 22'1/12
696: 13'13/15
697: 1'23/36
698: 10'1/8
699: 7'1/72
700: 47'8/15
701: 5'3/14
702: 4'67/90
703: 27'7/8
704: 25'11/12
705: 3'19/20
706: 2'67/94
707: 5'4/175
708: 98'3/4
709: 10'8/9
710: 2'22/27
711: 3'5/24
712: 2'116/135
713: 2
714: 6'301/372
715: 4'5/24
716: 1'39/49
717: 7'2/9
718: 14'1/6
719: 11'17/28
720: 4'59/138
721: 6'1/12
722: 8'3/37
723: 5'43/130
724: 91'17/21
725: 17'1/3
726: 32'3/4
727: 57'29/48
728: 10'17/40
729: 4'57/110
730: 15/658
731: 10'9/20
732: 3'79/100
733: 3'41/56
734: 5'19/90
735: 1'14/45
736: 4'23/43
737: 36/49
738: 6'1/54
739: 6'2/13
740: 13/64
741: 7'7/40
742: 1/26
743: 14'4/9
744: 1'67/70
745: 4'13/21
746: 2'667/1638
747: 7'4/9
748: 2/5
749: 12'25/72
750: 4'41/72
751: 1'8/9
752: 9'161/564
753: 10'7/30
754: 13'2/7
755: 7'129/329
756: 81'1/42
757: 1/7
758: 8'73/270
759: 13'19/45
760: 4'43/45
761: 2'47/368
762: 18'1/45
763: 8'99/203
764: 9'51/70
765: 21'55/56
766: 8'29/51
767: 25/36
768: 3'1/185
769: 10'47/140
770: 2'19/28
771: 8'87/245
772: 7'19/63
773: 8'170/441
774: 3'59/195
775: 25'3/7
776: 8'50/111
777: 29'31/36
778: 146'1/49
779: 9'1/15
780: 3/7
781: 86/357
782: 4'127/408
783: 44'2/9
784: 2'32/49
785: 32'4/5
786: 3'1/9
787: 59/75
788: 4'13/15
789: 3'17/42
790: 1'149/203
791: 27'1/3
792: 20/27
793: 19'3/5
794: 7/1980
795: 28/55
796: 11'8/9
797: 2'9/40
798: 1'599/1116
799: 4
800: 40/63
801: 9/275
802: 2'23/66
803: 3'4/5
804: 7'1/2
805: 8'7/12
806: 7'143/504
807: 162/175
808: 39'6/7
809: 8'2/3
810: 21
811: 29/210
812: 189/1984
813: 9'3/8
814: 1'1/8
815: 5'83/105
816: 35'5/49
817: 5'1/15
818: 38'1/2
819: 24'3/4
820: 20/203
821: 8'2/3
822: 20'2/3
823: 5'11/17
824: 3'17/28
825: 11'1/6
826: 12
827: 1'197/315
828: 5/12
829: 8'3/8
830: 11'1/4
831: 6'5/6
832: 2'23/56
833: 2'1/6
834: 7/8
835: 48'26/45
836: 13/50
837: 4/7
838: 32'13/16
839: 2/25
840: 18
841: 51'8/45
842: 8'5/6
843: 4'1/2
844: 2'7/24
845: 5'1/3
846: 6'17/18
847: 352
848: 3'1/6
849: 9/224
850: 1'5/6
851: 8'5/7
852: 6'467/656
853: 19
854: 3/28
855: 5'34/35
856: 6'17/18
857: 8'2/3
858: 65'5/64
859: 5/88
860: 53'1/3
861: 4/483
862: 42
863: 1'2/27
864: 5
865: 13'3/10
866: 46/59
867: 10'18/35
868: 8'3/5
869: 40
870: 26'2/9
871: 59'1/2
872: 49/1080
873: 3'2/35
874: 9'22/45
875: 10'172/483
876: 2'23/26
877: 5'1/21
878: 6'1/3
879: 7'1/2
880: 24'14/15
881: 247
882: 43
883: 9'12/13
884: 51'6/7
885: 228'4/7
886: 6'25/38
887: 1/10
888: 5'7/18
889: 8'25/108
890: 9'1/20
891: 10
892: 28'13/15
893: 8'5/12
894: 7'3/10
895: 5'2/3
896: 11'17/20
897: 20'2/3
898: 58'2/9
899: 2'2/3
900: 25/903
901: 6'101/168
902: 7'5/12
903: 8'1/4
904: 2'2/3
905: 10'97/105
906: 13'13/45
907: 11/171
908: 4'2/21
909: 4'2/9
910: 7'35/72
911: 119/360
912: 498'2/3
913: 7'5/7
914: 11'29/42
915: 11'1/2
916: 34'1/3
917: 1'5/28
918: 27'7/12
919: 68'1/4
920: 11
921: 2'1/6
922: 45'5/7
923: 1/636
924: 1'7/11
925: 6'5/13
926: 4'1/11
927: 22'11/15
928: 4
929: 2'3/8
930: 1'11/12
931: 88/819
932: 5'145/354
933: 61/184
934: 9'182/405
935: 235/374
936: 32'1/3
937: 26'1/4
938: 4'16/45
939: 47'2/3
940: 1'1/20
941: 19'39/70
942: 75'8/21
943: 18'47/210
944: 8'14/27
945: 11'31/42
946: 2'20/51
947: 2'3/4
948: 23'3/5
949: 39'13/18
950: 169/440
951: 2'2/5
952: 129'9/25
953: 57'17/30
954: 5'16/35
955: 18'3/4
956: 10'53/84
957: 61'1/3
958: 25
959: 20'11/18
960: 5'124/125
961: 851/990
962: 2'5/8
963: 4'4/5
964: 19'1/2
965: 124/1045
966: 12'1/3
967: 6'13/40
968: 12'3/8
969: 8'43/60
970: 14'8/63
971: 4'10/21
972: 6'3/35
973: 5'47/63
974: 1'3/4
975: 12'5/7
976: 8'3/16
977: 9'77/102
978: 3'1/21
979: 6'11/14
980: 418'34/35
981: 6'23/48
982: 1/2
983: 6'3/8
984: 16/99
985: 3'3/4
986: 20'1/12
987: 9'7/12
988: 30/259
989: 62'13/35
990: 20
991: 102/2639
992: 1'3/4
993: 8'3/8
994: 3'3/10
995: 7/40
996: 3'25/42
997: 33'2/3
998: 5'2/21
999: 1'1/2
1000: 102'2/27
1001: 34
1002: 15'1/45
1003: 2'11/18
1004: 119/396
1005: 22/75
1006: 27'1/3
1007: 6'25/36
1008: 5'1/6
1009: 40'1/2
1010: 11'1/2
1011: 55/147
1012: 57/161
1013: 5'5/24
1014: 7'1/72
1015: 8'334/387
1016: 9'11/14
1017: 22
1018: 6'1/12
1019: 5'5/27
1020: 13/187
1021: 2'73/108
1022: 21'31/40
1023: 300
1024: 175/1242
1025: 49'1/2
1026: 4'1/56
1027: 4'3/4
1028: 1'7/13
1029: 1'7/11
1030: 9'13/72
1031: 9'119/180
1032: 2'4/63
1033: 1'47/132
1034: 5'1/2
1035: 87/700
1036: 40'1/45
1037: 1'13/20
1038: 307/360
1039: 13/28
1040: 59'3/4
1041: 13'1/3
1042: 13'17/30
1043: 5'19/88
1044: 13'10/21
1045: 3'51/100
1046: 6'18/35
1047: 144/275
1048: 2'1/52
1049: 6'23/31
1050: 33'13/40
1051: 47'1/3
1052: 2'15/52
1053: 7'19/69
1054: 4'31/36
1055: 48/4543
1056: 63'1/4
1057: 35'7/90
1058: 6'11/39
1059: 7'47/102
1060: 7'19/51
1061: 2'7/15
1062: 9'1/344
1063: 2'233/351
1064: 5/32
1065: 8'2/9
1066: 147/2200
1067: 108/1547
1068: 4'35/36
1069: 3'7/12
1070: 3/70
1071: 5
1072: 41'1/2
1073: 64'103/105
1074: 4'8/21
1075: 5'11/57
1076: 1/3
1077: 13'9/16
1078: 23/126
1079: 331/448
1080: 1'13/15
1081: 6'39/49
1082: 2'1/6
1083: 57'47/48
1084: 6'1/4
1085: 5/146
1086: 44'13/15
1087: 13'13/21
1088: 2'19/21
1089: 2'487/705
1090: 7'104/315
1091: 10'6/7
1092: 5'13/27
1093: 520'5/162
1094: 11
1095: 2'7/9
1096: 3/4
1097: 11
1098: 42/325
1099: 1'17/28
1100: 1'1/4
1101: 7'1/8
1102: 19'3/5
1103: 54'59/140
1104: 12'1/3
1105: 2'1/27
1106: 26/657
1107: 6'17/21
1108: 149/168
1109: 10'6/7
1110: 2'61/84
1111: 2'38/87
1112: 1'12/65
1113: 16/63
1114: 13/60
1115: 11/49
1116: 7/185
1117: 1/15
1118: 2'127/204
1119: 6'116/213
1120: 11/17
1121: 24
1122: 4'11/45
1123: 21/176
1124: 55'19/42
1125: 3'55/168
1126: 16'15/16
1127: 64'13/14
1128: 27'8/9
1129: 7'22/69
1130: 5'31/36
1131: 1'7/46
1132: 8'1/69
1133: 9'53/108
1134: 37'7/15
1135: 15'15/32
1136: 532/2405
1137: 12'1/6
1138: 4'35/39
1139: 3'8/9
1140: 4/33
1141: 4/667
1142: 3'17/18
1143: 33'1/2
1144: 41'6/7
1145: 1'19/21
1146: 27'3/4
1147: 8'19/36
1148: 3'4/9
1149: 31'8/9
1150: 1/24
1151: 2'67/70
1152: 21'3/5
1153: 16/243
1154: 9'8/9
1155: 50'3/4
1156: 11'47/84
1157: 41/224
1158: 3'169/288
1159: 19'2/3
1160: 3'3/64
1161: 12'1/12
1162: 1/66
1163: 1/4
1164: 92'1/2
1165: 3'1/5
1166: 6'5/24
1167: 20'8/9
1168: 2'2/7
1169: 107'5/8
1170: 18'3/7
1171: 41'23/56
1172: 9'17/24
1173: 6'1/15
1174: 7'3/34
1175: 2
1176: 343/1768
1177: 6'1/8
1178: 2'13/45
1179: 56
1180: 1/48
1181: 2'85/108
1182: 4'347/399
1183: 13/150
1184: 5'31/63
1185: 9'3/8
1186: 1'3/8
1187: 87/308
1188: 11'27/56
1189: 6'1/6
1190: 7'29/40
1191: 21/160
1192: 2'125/252
1193: 95/172
1194: 160
1195: 10
1196: 15'5/9
1197: 12
1198: 4'5/9
1199: 66/133
1200: 10'17/56
1201: 69
1202: 7/27
1203: 4'11/35
1204: 8'8/27
1205: 1
1206: 2'11/14
1207: 20'7/24
1208: 6/205
1209: 2
1210: 12'19/21
1211: 3'1/6
1212: 5'7/34
1213: 10'4/5
1214: 36'23/30
1215: 9'39/64
1216: 3'1/2
1217: 20/117
1218: 11'1/3
1219: 105
1220: 7'1/77
1221: 5'23/42
1222: 4'5/12
1223: 16'7/15
1224: 1'7/10
1225: 203
1226: 40'1/2
1227: 7'7/9
1228: 42'2/3
1229: 1'43/50
1230: 90/517
1231: 280/387
1232: 93'5/18
1233: 19/260
1234: 28'4/9
1235: 1/28
1236: 12'1/3
1237: 12'1/5
1238: 72'1/2
1239: 1'19/40
1240: 1'17/152
1241: 13'37/45
1242: 3'9/14
1243: 48'17/21
1244: 3/5
1245: 5'1/35
1246: 10'11/14
1247: 12'19/20
1248: 22'25/36
1249: 1/18
1250: 13'17/21
1251: 11/12
1252: 5'9/16
1253: 9'1/18
1254: 7'71/99
1255: 7/36
1256: 7'1/9
1257: 6'46/51
1258: 70'4/7
1259: 6'88/645
1260: 3'7/12
1261: 4'13/168
1262: 114/341
1263: 1/62
1264: 15'2/7
1265: 928/1395
1266: 7/9
1267: 3'7/20
1268: 328'2/3
1269: 6'295/408
1270: 2'1/10
1271: 12'1/2
1272: 40'1/9
1273: 14'4/5
1274: 2'38/595
1275: 9/22
1276: 2'243/544
1277: 10'5/6
1278: 51'1/2
1279: 6'223/504
1280: 2'68/69
1281: 35/1488
1282: 5'1/18
1283: 2'5/12
1284: 145'4/5
1285: 8'5/23
1286: 4'1/2
1287: 13/297
1288: 31'9/14
1289: 19'9/14
1290: 9'23/98
1291: 28'2/3
1292: 8'17/45
1293: 2'25/32
1294: 2'1/7
1295: 7'1/4
1296: 61'47/48
1297: 8'7/9
1298: 15'5/6
1299: 32
1300: 175'1/2
1301: 2'1/6
1302: 15/56
1303: 4'29/132
1304: 23'41/60
1305: 21'67/72
1306: 251'65/126
1307: 12'7/15
1308: 3'4/15
1309: 2'542/665
1310: 12'2/3
1311: 20/39
1312: 3'13/74
1313: 3'236/315
1314: 3'389/664
1315: 20
1316: 15'15/32
1317: 21
1318: 7'14/45
1319: 1/4
1320: 21'13/36
1321: 12'8/21
1322: 3'5/96
1323: 15'7/24
1324: 11'1/8
1325: 3'2614/3105
1326: 7'17/36
1327: 15
1328: 6'147/304
1329: 187/224
1330: 7'289/324
1331: 1/4
1332: 19
1333: 1'17/24
1334: 8'1/6
1335: 1/90
1336: 5'8/27
1337: 17/19
1338: 1'1/27
1339: 9'13/20
1340: 9/28
1341: 64'1/6
1342: 5'1/8
1343: 25/144
1344: 4'23/56
1345: 27
1346: 6'5/16
1347: 5'31/40
1348: 9'5/8
1349: 6'1/3
1350: 15/28
1351: 32/625
1352: 9'1/6
1353: 4'8/21
1354: 2'1/4
1355: 6'1/12
1356: 3'23/36
1357: 5'1/2
1358: 71'51/56
1359: 45/152
1360: 35'3/4
1361: 10'37/42
1362: 9'277/390
1363: 3'1/36
1364: 44'49/54
1365: 12'13/40
1366: 2'47/154
1367: 188/531
1368: 18'1/6
1369: 89'7/8
1370: 22'1/3
1371: 85/126
1372: 8'79/184
1373: 42'7/8
1374: 378/3685
1375: 1/16
1376: 9'73/84
1377: 5'2/3
1378: 37'1/2
1379: 183/406
1380: 9'37/90
1381: 11/18
1382: 7'35/72
1383: 20'13/32
1384: 6'7/12
1385: 3'1/15
1386: 7'1/2
1387: 8
1388: 2'37/42
1389: 30'31/56
1390: 8'163/168
1391: 3'17/56
1392: 35'17/21
1393: 2/3
1394: 4'3/4
1395: 3'4/9
1396: 11'2/5
1397: 1'11/12
1398: 4'3/4
1399: 9'5/8
1400: 7'59/63
1401: 1/108
1402: 7'14/25
1403: 43'5/27
1404: 18'1/2
1405: 5'4/5
1406: 29/180
1407: 3'2/3
1408: 35'2/9
1409: 18'1/3
1410: 6'5/36
1411: 10'3/8
1412: 11
1413: 8'3/5
1414: 5'1/7
1415: 1'18/37
1416: 29/36
1417: 187/240
1418: 31'1/4
1419: 59/209
1420: 7'3/10
1421: 17'1/2
1422: 50'2/21
1423: 1'11/12
1424: 2'113/168
1425: 70'8/21
1426: 105/874
1427: 3'2/3
1428: 13'15/28
1429: 4'17/35
1430: 70'47/70
1431: 56'1/21
1432: 1'15/28
1433: 72/595
1434: 5'254/365
1435: 3'3/44
1436: 3'1/5
1437: 3/35
1438: 1'2/9
1439: 49'1/2
1440: 2'1/16
1441: 10'1/21
1442: 29'25/28
1443: 43/74
1444: 3'19/28
1445: 3'1/3
1446: 8'7/18
1447: 1'4/21
1448: 8
1449: 3'1/14
1450: 2'7/24
1451: 17'17/63
1452: 10'2/3
1453: 9'3/4
1454: 9'2/3
1455: 10'1247/1800
1456: 40/1701
1457: 6'76/91
1458: 7'23/40
1459: 80'5/48
1460: 9'11/20
1461: 6'163/192
1462: 1'163/180
1463: 71'1/4
1464: 9'17/56
1465: 2'25/119
1466: 3/19
1467: 46'17/24
1468: 14'5/24
1469: 4'7/8
1470: 4/5
1471: 15
1472: 1'1/3
1473: 8'3/10
1474: 90'1/4
1475: 43
1476: 7'1/3
1477: 2'10/67
1478: 14'1/64
1479: 7/174
1480: 2'2/9
1481: 7'382/1305
1482: 94'1/2
1483: 7'82/87
1484: 10'13/32
1485: 1'4/13
1486: 2'21/32
1487: 5'9/43
1488: 8'2/3
1489: 5'83/252
1490: 12'17/63
1491: 3'1/40
1492: 16'1/4
1493: 6'13/62
1494: 17'1/42
1495: 2'11/12
1496: 182/531
1497: 7/688
1498: 2'50/57
1499: 7'9/14
1500: 1/6
1501: 10'41/56
1502: 8'1/2
1503: 7'5/9
1504: 1/10
1505: 48'1/3
1506: 29/32
1507: 1'2/5
1508: 38'3/4
1509: 228'3/8
1510: 7'131/245
1511: 42/247
1512: 7'5/9
1513: 66'5/6
1514: 14'23/24
1515: 16'1/4
1516: 4'12/49
1517: 7'31/39
1518: 7'2/7
1519: 23'5/12
1520: 1'1/4
1521: 5'7/8
1522: 3'1/8
1523: 4'9/28
1524: 5/43
1525: 1/6
1526: 112'4/21
1527: 3'13/42
1528: 50'5/9
1529: 334'11/16
1530: 7'1/3
1531: 14'3/4
1532: 1'1/3
1533: 48'1/24
1534: 196
1535: 6/7
1536: 5'23/30
1537: 131/140
1538: 1/10
1539: 1'7/12
1540: 7'1/9
1541: 8'186/295
1542: 14/117
1543: 61'1/28
1544: 12'53/84
1545: 1'29/35
1546: 23'5/12
1547: 3'39/40
1548: 949/1080
1549: 13/21
1550: 1'2/9
1551: 31/45
1552: 8'1/25
1553: 3'44/49
1554: 2'5/8
1555: 6'1/2
1556: 6'63/260
1557: 102/703
1558: 19/35
1559: 9'1/4
1560: 5/28
1561: 87'19/40
1562: 6'1/6
1563: 13'1/4
1564: 34'49/60
1565: 3'1/2
1566: 41'1/3
1567: 5'10/21
1568: 1'29/56
1569: 2'1/3
1570: 14'2/3
1571: 5'7/13
1572: 1'385/468
1573: 5'1/6
1574: 5'41/140
1575: 13/58
1576: 12/245
1577: 2'67/75
1578: 200/511
1579: 6'97/115
1580: 5'71/128
1581: 1575/4484
1582: 4/25
1583: 21'47/120
